Gene	KO
AbcA_PpcA	K25932
AbcD_PpcC	K25934
BamB	K19515
Bcl	K04110
BcrA	K04114
BcrB	K04113
BssA_HbsA	K07540
BssB_HbsB	K29040
CatA	K03381
DmpK	K16249
DmpL	K16243
DmpM	K16244
DmpN	K16242
DmpO	K16245
DmpP	K16246
EbdA	K10700
EbdB	K17048
EbdC	K17049
EdoA1_AkbA1	K14748
EdoA2_AkbA2	K14749
EdoA3_AkbA3	K14750
NdoB	K14579
NidA	K11943
NidB	K11944
PpsA	K25936
PpsB	K25937
TmoA_TbuA1_TouA	K15760
TmoB_TbuU_TouB	K15761
TmoC_TbuB_TouC	K15762
TmoD_TbuV_TouD	K15763
TmoE_TbuA2	K15764
TmoF_TbuC_TouF	K15765
TodA	K18090
TodB	K18089
TodC1_BedC1	K03268
TodC2_BedC2	K16268
TodD	K16269
TomA1	K16243
TomA2	K16244
TomA3	K16242
TomA4	K16245
TomA5	K16246
UbiX	K03186
XylA	K15758
XylE	K00446
XylM	K15757
